Title,Artist,Type,Key,BPM,Feel,Drums,Bass,Guitar,Keys,Vocals,Overall,Best For,Teaching Focus,Notes
Silent Night,Traditional,Christmas,C,100,3/4 Waltz,1,1,2,2,3,2,December (Showcase),"3/4 time, dynamics",Beautiful and simple; great closer.
Hark the Herald Angels Sing,Traditional,Christmas,F,90,Straight,2,2,2,2,3,2,December (Showcase),"Joyful, simple",Easy full-band win.
Joy to the World (Unspeakable Joy),Chris Tomlin,Christmas,D,110,Straight,3,3,3,3,4,3,December (Showcase),Upbeat modern arrangement,High energy opener.
O Come All Ye Faithful (Faithful),Worship arrangement,Christmas,G,100,Straight,3,3,3,3,4,3,December (Showcase),Big singable chorus,Congregation favorite.
Angels We Have Heard on High,Traditional,Christmas,F,96,Straight,2,2,2,2,4,3,December (Showcase),'Gloria' melisma for vocals,Fun vocal feature.
O Holy Night,Traditional,Christmas,Bb,66,6/8,2,2,3,3,5,4,December (Showcase),Showpiece vocal,For a confident lead vocalist.
Stand By Me,Ben E. King,Secular,A,60,12/8 feel,2,2,2,2,3,2,Fall — change-up (W9),"Feel, pocket, the iconic bass line",Everyone knows it; I–vi–IV–V forever.
Lean on Me,Bill Withers,Secular,C,80,Straight,2,2,2,3,3,2,Any,"Piano-driven, unity theme",Simple and universally known.
Three Little Birds,Bob Marley,Secular,A,76,Reggae (off-beat),2,2,2,2,2,2,Any,Reggae up-strokes & feel,Teaches the off-beat; super positive.
Count on Me,Bruno Mars,Secular,C,92,Island straight,2,2,2,2,3,2,Any,"Simple groove, friendship","Gentle, easy, sweet."
I'm Yours,Jason Mraz,Secular,G,76,Reggae-pop,2,2,2,2,3,2,Any,Relaxed 4-chord strumming,Great acoustic-guitar song.
Can't Stop the Feeling,Justin Timberlake,Secular,C,113,Pop straight,3,3,3,3,3,3,Any,Feel-good pop groove,"High-energy, fun to play."
Isn't She Lovely,Stevie Wonder,Secular,E,120,Groove,3,4,3,4,4,4,Winter,Funk groove & harmony,Bass & keys challenge.
"Signed, Sealed, Delivered",Stevie Wonder,Secular,Eb,100,Motown groove,3,4,3,3,4,4,Spring,"Motown feel, tight band",Everybody-locks-in tune.
September,"Earth, Wind & Fire",Secular,A,126,Funk straight,4,4,4,4,5,4,Spring,"Ensemble tightness, joy",Horn-line energy; hard but a blast.
Uptown Funk,Bruno Mars,Secular,Dm,115,Funk,4,5,4,4,4,5,Spring (stretch),Advanced funk & ensemble,Bass is the boss; ultimate stretch goal.
